134_JUDD\0.7\134_JUDD_Main.mas  Tyre name: Name="Avon"
AM_FIAGT3_2015_bentleyGT3\1.05\AM_GT3_BENTLEY_MAIN.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2015_bentleyGT3\1.05\AM_GT3_BENTLEY_MAIN.mas  Tyre name: Name="P2 - Rain"
Apex_Endurance1999_CLR\0.999\clr_main.mas  Tyre name: Name="Soft"
Apex_Endurance1999_CLR\0.999\clr_main.mas  Tyre name: Name="Medium"
Apex_Endurance1999_CLR\0.999\clr_main.mas  Tyre name: Name="Hard"
Apex_Endurance1999_CLR\0.999\clr_main.mas  Tyre name: Name="Rain"
Apex_Endurance1999_GT-One\0.999\GTONE_MAIN.mas  Tyre name: Name="Soft"
Apex_Endurance1999_GT-One\0.999\GTONE_MAIN.mas  Tyre name: Name="Medium"
Apex_Endurance1999_GT-One\0.999\GTONE_MAIN.mas  Tyre name: Name="Hard"
Apex_Endurance1999_GT-One\0.999\GTONE_MAIN.mas  Tyre name: Name="Rain"
ASR_OWC_1987_99T\1.15\LOT_CAR.mas  Tyre name: Name="Goodyear Qualify"
ASR_OWC_1987_99T\1.15\LOT_CAR.mas  Tyre name: Name="Goodyear Soft"
ASR_OWC_1987_99T\1.15\LOT_CAR.mas  Tyre name: Name="Goodyear Hard"
ASR_OWC_1987_99T\1.15\LOT_CAR.mas  Tyre name: Name="GoodYear Wet"
ASR_OWC_1990_641-2\1.78\F1_1990_CARS.mas  Tyre name: Name="Qualify"
ASR_OWC_1990_641-2\1.78\F1_1990_CARS.mas  Tyre name: Name="Soft"
ASR_OWC_1990_641-2\1.78\F1_1990_CARS.mas  Tyre name: Name="Hard"
ASR_OWC_1990_641-2\1.78\F1_1990_CARS.mas  Tyre name: Name="Wet"
ASR_OWC_1991_020\2.07\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_020\2.07\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_020\2.07\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_020\2.07\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1991_643\2.06\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_643\2.06\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_643\2.06\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1991_643\2.06\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_B191\2.08\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_B191\2.08\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_B191\2.08\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_B191\2.08\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1991_FW14\2.08\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_FW14\2.08\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_FW14\2.08\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_FW14\2.08\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1991_M191\2.08\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_M191\2.08\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_M191\2.08\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_M191\2.08\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1991_MP4-6\2.08\F1_1991_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1991_MP4-6\2.08\F1_1991_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1991_MP4-6\2.08\F1_1991_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1991_MP4-6\2.08\F1_1991_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1992_M191B\1.02\m191b_car.mas  Tyre name: Name="Wet"
ASR_OWC_1992_M191B\1.02\m191b_car.mas  Tyre name: Name="Qualify"
ASR_OWC_1992_M191B\1.02\m191b_car.mas  Tyre name: Name="Soft"
ASR_OWC_1992_M191B\1.02\m191b_car.mas  Tyre name: Name="Hard"
ASR_OWC_1993_F93A\1.14\F1_1993_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1993_F93A\1.14\F1_1993_Car.mas  Tyre name: Name="Qualify"
ASR_OWC_1993_F93A\1.14\F1_1993_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1993_F93A\1.14\F1_1993_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1993_MP4-8\2.18\F1_1993_Car.mas  Tyre name: Name="Soft"
ASR_OWC_1993_MP4-8\2.18\F1_1993_Car.mas  Tyre name: Name="Medium"
ASR_OWC_1993_MP4-8\2.18\F1_1993_Car.mas  Tyre name: Name="Hard"
ASR_OWC_1993_MP4-8\2.18\F1_1993_Car.mas  Tyre name: Name="Wet"
ASR_OWC_1995_412T2\2.32\F1_1995_CAR.mas  Tyre name: Name="Soft"
ASR_OWC_1995_412T2\2.32\F1_1995_CAR.mas  Tyre name: Name="Medium"
ASR_OWC_1995_412T2\2.32\F1_1995_CAR.mas  Tyre name: Name="Hard"
ASR_OWC_1995_412T2\2.32\F1_1995_CAR.mas  Tyre name: Name="Wet"
ASR_OWC_1995_412T2\2.32\F1_1995_CAR.mas  Tyre name: Name="Intermediate"
ASR_OWC_1996_F310\2.14\F1_1996_car.mas  Tyre name: Name="Wet"
ASR_OWC_1996_F310\2.14\F1_1996_car.mas  Tyre name: Name="Qualify"
ASR_OWC_1996_F310\2.14\F1_1996_car.mas  Tyre name: Name="Soft"
ASR_OWC_1996_F310\2.14\F1_1996_car.mas  Tyre name: Name="Hard"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Soft"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Medium"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Intermediate"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Full Wet"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Soft"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Medium"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Intermediate"
ASR_OWC_2004_F2004\1.55\2k_Car.mas  Tyre name: Name="Full Wet"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Soft"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Medium"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Intermediate"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Full Wet"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Soft"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Medium"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Intermediate"
ASR_OWC_2004_FW26\1.02\2k_Car.mas  Tyre name: Name="Full Wet"
Audi_R15_TDI\0.99\Audi_R15_TDI_MAIN.mas  Tyre name: Name="Soft COMPOUND"
Audi_R15_TDI\0.99\Audi_R15_TDI_MAIN.mas  Tyre name: Name="Medium COMPOUND"
Audi_R15_TDI\0.99\Audi_R15_TDI_MAIN.mas  Tyre name: Name="Hard COMPOUND"
Audi_R15_TDI\0.99\Audi_R15_TDI_MAIN.mas  Tyre name: Name="Wet COMPOUND"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Soft"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_BMW_125i\1.3\BTCC_NGTC_BMW_125i_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Soft"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Chevrolet_Cruze\1.3\BTCC_NGTC_Chevrolet_Cruze_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Soft"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Ford_Focus\1.3\BTCC_NGTC_Ford_Focus_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Soft"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Medium"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Wet"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Hard"
BTCC_NGTC_Toyota_Avensis\1.3\BTCC_NGTC_Toyota_Avensis_Main.mas  Tyre name: Name="Medium"
Caterham7_14K_Classic\1.01\cat7_14_common.mas  Tyre name: Name="Avon ZV3"
CorvettePC\1.0\CorvettePC_CAR.mas  Tyre name: Name="Slick"
CorvettePCLights\1.0\CorvettePCLights_Car.mas  Tyre name: Name="Slick"
datsun bluebird\0.3.0\MAIN.mas  Tyre name: Name="DRY"
datsun bluebird\0.3.0\MAIN.mas  Tyre name: Name="WET"
Devbot Enterprises Super Formula V10 2017\2.1.1\DESFV10Main.mas  Tyre name: Name="Wet"
Devbot Enterprises Super Formula V10 2017\2.1.1\DESFV10Main.mas  Tyre name: Name="Intermediate"
Devbot Enterprises Super Formula V10 2017\2.1.1\DESFV10Main.mas  Tyre name: Name="Soft"
Devbot Enterprises Super Formula V10 2017\2.1.1\DESFV10Main.mas  Tyre name: Name="Hard"
eve_matra_f1\1.0\EVE_MATRA_CAR.mas  Tyre name: Name="Bias-Ply"
eve_matra_f1\1.0\EVE_MATRA_CAR.mas  Tyre name: Name="Wets"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Firestone"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Goodyear"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Firestone"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Firestone"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Goodyear"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Goodyear"
F1_Legends_Racing_2_Season_1967\1.02\F1LR.mas  Tyre name: Name="Goodyear"
ferrari_312_67\1.2\Ferrari_312_Main.mas  Tyre name: Name="Firestone"
Ferrari_330_P4\1.1\f330p4_MAIN.mas  Tyre name: Name="Bias-Ply"
FLAT12_917k_1971\0.80\917_main.mas  Tyre name: Name="Dry Bias-Ply"
FLAT12_917k_1971\0.80\917_main.mas  Tyre name: Name="Wet Bias-Ply"
Ford_GT40_MkIV\1.1\mkiv_car.mas  Tyre name: Name="Bias-Ply"
Formula BMW\1.28\FBMW_MAIN.mas  Tyre name: Name="Michelin S310"
Formula BMW\1.28\FBMW_MAIN.mas  Tyre name: Name="Michelin P310"
FormulaFord\0.624\FormulaFordMAIN.mas  Tyre name: Name="Avon_ACB10"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFGX_MAIN_16_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars FGx\6.5\FVR_AUFG_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_14_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Soft"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Hard"
FVR V8Supercars MB\6.5\FVR_AUMB_MAIN_15_65.mas  Tyre name: Name="Dunlop Wet"
